page,key,zh-CN,en,ja
index,hero_sub,给忙碌女性的一屏决策：高端眼罩、科学补剂与智能订阅。,"A one-screen decision flow for busy women: premium eye masks, science-backed supplements, and smart subscription.",忙しい女性のための1画面導線。高級アイマスク、科学的サプリ、スマート定期便。
index,hero_title,当效率遇见优雅。,Efficiency meets Elegance.,Efficiency meets Elegance.
index,j1_1,眼罩遮光度在强光/侧睡/晨光场景实测,"Blackout tests under strong light, side-sleep, and morning scenarios",強光・横向き寝・朝の場面で遮光性を実測
index,j1_2,产后恢复体力补剂清单,Postpartum energy recovery supplement stack,産後の体力回復サプリ構成
index,j1_3,高压日程下的自我恢复策略,Work-life reset methods for high-pressure schedules,高圧日程でのセルフリセット法
index,j1_t,你会看到的真实内容,What you will see,掲載内容
index,j1_video,视频占位 | 上传你的短测评片段,Video Placeholder | Upload your short review clip,動画プレースホルダー | 短いレビュー動画を掲載
index,j2_1,优先做 30-60 秒视频,Use 30-60 second videos first,30〜60秒動画を優先
index,j2_2,每篇只解决一个问题,One post solves one clear problem,1投稿1課題に絞る
index,j2_3,附一份可立即执行清单,Attach one immediately actionable checklist,すぐ実行できるチェックリストを付ける
index,j2_d,当创始人使用路径真实可见时，转化通常高于通用文案。,"When founder usage is visible and specific, conversion outperforms generic product copy.",創業者の実使用が見えるほど、一般的なコピーより反応が高い。
index,j2_link_prefix,查看更多：,Read more on the,詳細は
index,j2_link_text,Founder 页面,Founder page,Founderページ
index,j2_t,为什么更容易转化,Why this converts,なぜ転換率が上がるか
index,j_sub,这个人群买的不只是产品，更是品味与信任。,"This audience buys trust and taste, not just products.",この層が買うのは商品だけでなく、信頼と審美性。
index,j_title,创始人专栏 | Leaf's Choice,Founder's Journal | Leaf's Choice,Founder's Journal | Leaf's Choice
index,m1_d,高遮光蚕丝眼罩、睡眠喷雾与降噪配件，适合碎片化休息。,"Premium blackout silk eye mask, sleep mist, and noise reduction for fragmented nights.",遮光シルクマスク、スリープミスト、ノイズ対策で断続的な睡眠を補助。
index,m1_t,Deep Sleep | 深睡修复区,Deep Sleep,Deep Sleep
index,m2_d,VC、TRU NIAGEN 与钙镁片，支持稳定输出与恢复。,"VC, TRU NIAGEN, and calcium-magnesium to support stable output and recovery.",VC、TRU NIAGEN、カルシウム+マグネシウムで安定出力を支援。
index,m2_t,Peak Energy | 能量巅峰区,Peak Energy,Peak Energy
index,m3_d,夜间修复、白天护眼、自动补货，一步到位。,"Night repair, daytime eye protection, and auto-refill in one routine.",夜の回復、日中の目ケア、自動補充を1ルーティンで。
index,m3_t,Working Mama's Kit | 职场妈妈专属包,Working Mama's Kit,Working Mama's Kit
index,m_sub,不再反复浏览，只需进入你当前状态。,"No endless browsing, just the right path for your current state.",今の状態に合う導線だけを、最短で。
index,m_title,三大解决方案,Three Main Solutions,3つのソリューション
index,nav_collections,选品分类,Collections,コレクション
index,nav_founder,创始人专栏,Founder,創業者
index,nav_science,科学背书,Science,科学情報
index,nav_start,开始选品,Start Here,はじめに
index,nav_subscribe,订阅 9 折,Subscribe 9% Off,定期便 9%OFF
index,s_h1,产品,Product,製品
index,s_h2,关键成分,Key Ingredient,主要成分
index,s_h3,来源与认证,Origin / Certification,原産/認証
index,s_h4,场景,Use Case,利用シーン
index,s_note_link,Science 页面,Science page,Scienceページ
index,s_note_prefix,本页为科普信息，完整说明见,For education only. See full details on the,本ページは情報提供。詳細は
index,s_r1_c1,VC Daily Support,VC Daily Support,VC Daily Support
index,s_r1_c2,抗坏血酸 + 缓释基底,Ascorbic acid + sustained-release base,アスコルビン酸 + 徐放性基材
index,s_r1_c3,日本制造 / 批次检测,Made in Japan / batch testing,日本製造 / ロット検査
index,s_r1_c4,换季与高压周期,Seasonal stress cycles,季節変化・高負荷周期
index,s_r2_c1,TRU NIAGEN,TRU NIAGEN,TRU NIAGEN
index,s_r2_c2,烟酰胺核糖（NR）,Nicotinamide Riboside (NR),ニコチンアミドリボシド（NR）
index,s_r2_c3,美国品牌 / 第三方检测,US brand / third-party testing,米国ブランド / 第三者検査
index,s_r2_c4,能量与代谢支持,Energy and metabolic support,エネルギー・代謝支援
index,s_r3_c1,Calcium + Magnesium,Calcium + Magnesium,Calcium + Magnesium
index,s_r3_c2,钙镁复配,Calcium-magnesium formula,カルシウム+マグネシウム配合
index,s_r3_c3,GMP 工厂 / 原料追溯,GMP facility / traceable sourcing,GMP工場 / 原料追跡
index,s_r3_c4,紧绷与睡前舒缓,Tension and sleep prep,緊張と就寝前ケア
index,s_sub,对 30-40 岁女性来说，透明度就是购买力。,"For women in their 30s and 40s, transparency is purchasing power.",30〜40代女性にとって、透明性は購買力。
index,s_title,科学背书与溯源,Science & Sourcing,科学情報と原料開示
index,sub1_d,蓝莓/叶黄素 + 蒸汽眼罩（月度）,Bilberry/Lutein + steam eye mask (monthly),ビルベリー/ルテイン + 蒸気アイマスク（月次）
index,sub1_p,每月自动续送，享 9 折,Auto-delivery with 9% off,自動配送で9%OFF
index,sub1_t,Visual Reset,Visual Reset,Visual Reset
index,sub2_d,蚕丝眼罩 + VC + TRU NIAGEN + 钙镁 + 蒸汽眼罩,Silk eye mask + VC + TRU NIAGEN + Calcium/Magnesium + steam eye mask,シルクアイマスク + VC + TRU NIAGEN + カルシウム/マグネシウム + 蒸気アイマスク
index,sub2_p,推荐组合，9 折 + 优先补货,"Recommended combo, 9% off + priority stock",推奨セット、9%OFF + 優先在庫
index,sub2_t,Working Mama Core Kit,Working Mama Core Kit,Working Mama Core Kit
index,sub3_d,睡眠喷雾 + 降噪耳塞 + 夜间修复组合,Sleep mist + earplugs + night recovery set,スリープミスト + 耳栓 + 夜間回復セット
index,sub3_p,双月配送，享 9 折,"Bi-monthly delivery, 9% off",隔月配送、9%OFF
index,sub3_t,Deep Recovery,Deep Recovery,Deep Recovery
index,sub_cta,开始订阅,Start Subscription,定期便を始める
index,sub_sub,忙的时候，自动化最有效。,"When time is limited, automation wins.",時間がないほど自動化が効く。
index,sub_title,订阅 | 聪明女性的懒人模式,Subscription | Lazy Mode for Smart Women,定期便 | 忙しい女性のためのラク設計
collections,_meta_description,修复系、生命力系、护眼系三大分类，帮助忙碌女性更快完成高质量选品。,"Explore restoration, vitality, and visual shield lines curated for busy working women and mothers.",修復・生命力・護眼の3ラインから、忙しい女性向けに最適な選択を提案します。
collections,_meta_title,Collections | The Only Leaf,Collections | The Only Leaf,Collections | The Only Leaf
collections,faq_1_a,从你的首要困扰出发：睡眠、能量或眼疲劳。,"Start from your top concern: sleep, energy, or eye strain.",最優先の悩み（睡眠・エネルギー・目疲れ）から選んでください。
collections,faq_1_q,三条产品线怎么选？,How do I choose among the three lines?,3つのラインはどう選べばいいですか？
collections,faq_2_a,有，它是 The Vitality 的核心单品之一。,"Yes, it is one of the core picks in The Vitality line.",はい。The Vitality の主要ピックの一つです。
collections,faq_2_q,生命力系列有 TRU NIAGEN 吗？,Is TRU NIAGEN included in vitality?,VitalityにTRU NIAGENは含まれますか？
collections,faq_3_a,可以，跳转订阅页选择对应计划即可。,"Yes, jump to subscription and choose the nearest matching plan.",はい。対応プランを選んでそのまま進めます。
collections,faq_3_q,可以从分类页直接去订阅吗？,Can I subscribe directly from a collection?,コレクションから直接定期便に進めますか？
collections,faq_sub,更快做选择的简明答案。,Quick answers for faster selection.,より早く選ぶための簡潔な回答。
collections,faq_title,常见问题,FAQ,FAQ
collections,footer,只保留值得长期复购的品类。,Only categories worth long-term repeat purchase stay here.,長期リピート価値のあるカテゴリだけを残します。
collections,hero_kicker,为职场女性策展,Premium Edit for Working Women,働く女性のための厳選
collections,hero_title,策展选品,Curated Collections,キュレーションコレクション
collections,intro,每条产品线都对应一个高频问题，让忙碌女性更快做决定。,Each line solves one high-frequency challenge for busy women.,各ラインは忙しい女性の高頻度課題を1つずつ解決します。
collections,nav_collections,选品分类,Collections,コレクション
collections,nav_founder,创始人专栏,Founder,創業者
collections,nav_science,科学背书,Science,科学情報
collections,nav_start,开始选品,Start Here,はじめに
collections,nav_subscribe,订阅 9 折,Subscribe 9% Off,定期便 9%OFF
collections,r_1,Dore & Rose 蚕丝眼罩：高遮光、亲肤、适合侧睡。,"Dore & Rose Silk Eye Mask: blackout, skin-friendly, side-sleep ready.",Dore & Rose シルクアイマスク：高遮光・肌にやさしい・横向き寝対応。
collections,r_2,睡眠喷雾：睡前 30 秒建立稳定暗示。,Sleep Mist: a 30-second pre-sleep cue.,スリープミスト：就寝前30秒の習慣。
collections,r_3,降噪耳塞：家用与出差都实用。,Noise-Reduction Earplugs: practical for both home and travel.,ノイズ低減耳栓：自宅と移動の両方で実用的。
collections,r_desc,恢复睡眠质量，缩短入睡准备路径。,Restore sleep quality and shorten pre-sleep preparation.,睡眠の質を整え、就寝準備を短縮。
collections,r_title,The Restoration | 修复系,The Restoration,The Restoration
collections,s_1,蓝莓 / 叶黄素：日常护眼支持。,Bilberry / Lutein: daily visual support.,ビルベリー / ルテイン：日常の目サポート。
collections,s_2,蒸汽眼罩：午后与睡前快速放松。,Steam Eye Mask: quick midday and bedtime reset.,蒸気アイマスク：昼と夜のクイックリセット。
collections,s_3,防蓝光单品：办公室、通勤与夜间场景。,"Blue-light essentials: office, commute, and night screen use.",ブルーライト対策：職場・通勤・夜間画面。
collections,s_desc,减少长时间看屏幕带来的视觉疲劳。,Reduce visual fatigue from prolonged screen exposure.,長時間スクリーンによる視覚疲労を軽減。
collections,s_title,The Visual Shield | 护眼系,The Visual Shield,The Visual Shield
collections,v_1,VC：维持日常抵抗力基线。,VC: daily immune baseline support.,VC：日常の免疫ベースを支える。
collections,v_2,TRU NIAGEN：NAD+ 代谢支持。,TRU NIAGEN: NAD+ metabolic support.,TRU NIAGEN：NAD+ 代謝サポート。
collections,v_3,钙镁片：缓解压力与紧绷。,Calcium + Magnesium: stress and tension support.,カルシウム+マグネシウム：緊張とストレスケア。
collections,v_desc,支持高密度工作周的稳定输出。,Support stable output during high-density work weeks.,高密度な仕事週間でも安定出力を支援。
collections,v_title,The Vitality | 生命力系,The Vitality,The Vitality
founder,_meta_description,创始人真实测评、恢复清单与职场女性日常方法，建立信任与品味。,"Founder-tested routines, honest reviews, and practical recovery notes for working women.",創業者の実使用レビューと回復ルーティンを公開し、信頼できる選択を支援します。
founder,_meta_title,Founder | The Only Leaf,Founder | The Only Leaf,Founder | The Only Leaf
founder,a1_d,场景包括清晨自然光、办公室午休与侧睡翻身。重点：遮光、贴合、醒来压痕。,"Scenes include morning sunlight, office nap, and side-sleep movement. Focus: blackout, fit, and pressure marks.",朝の自然光、オフィス仮眠、横向き寝を検証。重点：遮光、フィット、起床時の跡。
founder,a1_t,01. 眼罩遮光度亲测,01. Blackout Eye Mask Test,01. アイマスク遮光実測
founder,a1_v,视频占位 | 建议 45 秒竖屏短视频,Video Placeholder | Recommended: 45-second vertical clip,動画プレースホルダー | 45秒縦動画を推奨
founder,a2_1,VC：维持稳定基础状态与日常韧性。,VC: maintain a stable baseline and daily resilience.,VC：日常の安定ベースと回復力を維持。
founder,a2_2,钙镁：睡前放松与紧绷支持。,Calcium + Magnesium: pre-sleep relaxation and tension support.,カルシウム+マグネシウム：就寝前の緩和と緊張サポート。
founder,a2_3,TRU NIAGEN：在专业建议下评估。,TRU NIAGEN: evaluate under professional guidance.,TRU NIAGEN：専門家と相談し評価。
founder,a2_note,建议记录真实周期：第1周 / 第4周 / 第8周反馈。,Share real timeline notes: week 1 / week 4 / week 8 responses.,実際の期間記録：1週目 / 4週目 / 8週目。
founder,a2_t,02. 产后恢复补剂清单,02. Postpartum Recovery Supplement List,02. 産後リカバリー補助リスト
founder,a3_d1,核心观点：高效不等于长期透支。,Core idea: high efficiency is not the same as sustainable overdrive.,核心：高効率は持続的な過負荷と同義ではない。
founder,a3_d2,推荐写法：一篇只讲一个问题 + 一个可执行习惯。,"Recommended writing style: one post, one concrete problem, one actionable routine.",推奨構成：1投稿1課題 + 1つの実行習慣。
founder,a3_t,03. 职场女性心路,03. Working Woman's Mental Journey,03. 働く女性のメンタルジャーニー
founder,faq_1_a,先发布遮光度实测视频，最快建立可信度。,Start with the blackout test video to build immediate credibility.,遮光テスト動画から始めると、信頼を早く得られます。
founder,faq_1_q,应该先发布什么内容？,What should I publish first?,最初に何を公開すべきですか？
founder,faq_2_a,30-60 秒最适合忙碌职场女性。,30-60 seconds works best for busy working women.,忙しい女性向けには30〜60秒が最適です。
founder,faq_2_q,创始人视频多长合适？,How long should founder videos be?,創業者動画はどの長さが最適？
founder,faq_3_a,要。真实且具体的细节是最强信任资产。,Yes. Honest specifics are the strongest trust and conversion asset.,はい。正直で具体的な情報が最も強い信頼資産です。
founder,faq_3_q,要公开个人日常细节吗？,Should I include my personal routine details?,個人ルーティンの詳細は出すべき？
founder,faq_sub,建立信任的快速回答。,Quick trust-building answers.,信頼構築のためのクイック回答。
founder,faq_title,常见问题,FAQ,FAQ
founder,footer,信任建立于具体细节。,Trust is built with specifics.,信頼は具体性で生まれる。
founder,hero_kicker,创始人视角,Founder Perspective,創業者視点
founder,hero_title,创始人精选,Leaf's Choice,創業者セレクト
founder,intro,每一个推荐都来自真实使用，而不是宣传话术。,"Every recommendation comes from actual use, not promotional copy.",すべての推薦は実使用に基づき、宣伝文ではありません。
founder,nav_collections,选品分类,Collections,コレクション
founder,nav_founder,创始人专栏,Founder,創業者
founder,nav_science,科学背书,Science,科学情報
founder,nav_start,开始选品,Start Here,はじめに
founder,nav_subscribe,订阅 9 折,Subscribe 9% Off,定期便 9%OFF
science,_meta_description,公开成分、产地、检测与安全说明，让30-40岁女性做出更安心的购买决策。,"Clear ingredients, origins, testing, and safety notes for transparent wellness decisions.",成分・産地・検査・安全情報を明確にし、安心して選べる判断材料を提供します。
science,_meta_title,Science & Sourcing | The Only Leaf,Science & Sourcing | The Only Leaf,Science & Sourcing | The Only Leaf
science,faq_1_a,会，能提供的关键第三方检测摘要都会展示。,"Yes, key third-party summaries are displayed whenever available.",はい。公開可能な主要要約は表示します。
science,faq_1_q,会展示第三方检测信息吗？,Do you show third-party test information?,第三者検査情報は公開されますか？
science,faq_2_a,不能。补剂用于支持健康，不替代诊断和治疗。,No. They support wellness but do not replace clinical diagnosis or treatment.,なりません。健康支援であり診断・治療の代替ではありません。
science,faq_2_q,补剂能替代医疗治疗吗？,Can supplements replace medical treatment?,サプリは医療治療の代替になりますか？
science,faq_3_a,孕期、哺乳期、用药中或慢性病用户。,"Pregnant, nursing, medicated, or chronic-condition users.",妊娠中・授乳中・服薬中・慢性疾患の方。
science,faq_3_q,哪些人应先咨询医生？,Who should consult a doctor first?,どんな人が先に医師相談すべきですか？
science,faq_sub,关于科学与安全的快速答案。,Quick answers for science and safety.,科学と安全に関するクイック回答。
science,faq_title,常见问题,FAQ,FAQ
science,footer,透明度优先，始终如此。,"Transparency first, always.",透明性を最優先に。
science,h1,产品,Product,製品
science,h2,主要成分,Key Ingredient,主要成分
science,h3,产地 / 制造,Origin / Manufacturing,産地 / 製造
science,h4,检测与认证,Testing & Certification,検査と認証
science,hero_kicker,科学与透明度,Science & Transparency,科学と透明性
science,hero_title,可验证的溯源体系,Sourcing You Can Verify,検証可能な原料開示
science,i1_1,完整配方和剂量范围,Full formula and serving range,配合と摂取量レンジの全体開示
science,i1_2,产地国家与制造细节,Origin country and manufacturing details,原産国と製造情報
science,i1_3,第三方检测摘要与批次信息,Third-party summaries and batch references,第三者検査要約とロット情報
science,i1_t,我们公开什么,What We Disclose,公開している内容
science,i2_d,补剂不替代诊疗。孕期、哺乳期、用药中或慢性病人群建议先咨询医生。,"Supplements do not replace diagnosis or treatment. Pregnant, nursing, medicated, or chronic-condition users should consult a physician first.",サプリは診断・治療の代替ではありません。妊娠中・授乳中・服薬中・慢性疾患の方は医師相談を推奨。
science,i2_t,安全说明,Safety Notes,安全上の注意
science,intro,对 30-40 岁女性来说，来源透明与安全说明清晰是购买信心核心。,"For women in their 30s and 40s, transparent sourcing and clear safety notes drive confidence.",30-40代女性にとって、原料透明性と安全情報の明確さは購買信頼の中核です。
science,nav_collections,选品分类,Collections,コレクション
science,nav_founder,创始人专栏,Founder,創業者
science,nav_science,科学背书,Science,科学情報
science,nav_start,开始选品,Start Here,はじめに
science,nav_subscribe,订阅 9 折,Subscribe 9% Off,定期便 9%OFF
science,r1c1,VC Daily Support,VC Daily Support,VC Daily Support
science,r1c2,抗坏血酸 + 缓释基底,Ascorbic acid + sustained-release base,アスコルビン酸 + 徐放性基材
science,r1c3,日本制造,Made in Japan,日本製造
science,r1c4,批次 COA + 微生物检测,Batch COA + microbiology testing,ロット COA + 微生物検査
science,r2c1,TRU NIAGEN,TRU NIAGEN,TRU NIAGEN
science,r2c2,烟酰胺核糖（NR）,Nicotinamide Riboside (NR),ニコチンアミドリボシド（NR）
science,r2c3,美国品牌,US brand,米国ブランド
science,r2c4,第三方纯度检测,Third-party purity testing,第三者純度検査
science,r3c1,Calcium + Magnesium,Calcium + Magnesium,Calcium + Magnesium
science,r3c2,钙镁复配,Calcium-magnesium formula,カルシウム+マグネシウム配合
science,r3c3,欧盟原料 / GMP 工厂,EU ingredients / GMP facility,EU原料 / GMP工場
science,r3c4,重金属与稳定性检测,Heavy metal + stability testing,重金属 + 安定性検査
science,r4c1,Silk Eye Mask,Silk Eye Mask,Silk Eye Mask
science,r4c2,Mulberry Silk 6A,Mulberry Silk 6A,Mulberry Silk 6A
science,r4c3,可追溯面料来源,Traceable fabric source,追跡可能な生地ソース
science,r4c4,材质安全检测报告,Material safety report,素材安全レポート
subscription,_meta_description,懒人模式订阅：自动配送、灵活暂停与9折优惠，为忙碌女性减少心智负担。,"Smart subscription with auto-delivery, flexible control, and 9% savings for busy women.",自動配送・柔軟な管理・9%OFFで、忙しい女性の負担を軽くする定期便。
subscription,_meta_title,Subscription | The Only Leaf,Subscription | The Only Leaf,Subscription | The Only Leaf
subscription,faq_1_a,可以，发货前可暂停与恢复。,"Yes, pause and resume are available before shipment.",はい。発送前であれば停止・再開が可能です。
subscription,faq_1_q,可以随时暂停吗？,Can I pause anytime?,いつでも停止できますか？
subscription,faq_2_a,可以，在续费日前编辑清单即可。,"Yes, edit line items before your renewal date.",はい。更新日前に内容を編集できます。
subscription,faq_2_q,可以中途调整订阅商品吗？,Can I switch products in my plan?,途中で商品変更できますか？
subscription,faq_3_a,没有固定合约，你拥有完整控制权。,No fixed contract. You keep full control.,固定契約はありません。常に自由に管理できます。
subscription,faq_3_q,有长期合约吗？,Is there a long-term contract?,長期契約はありますか？
subscription,faq_sub,订阅决策前的快速答案。,Quick answers for subscription decisions.,定期便前のクイック回答。
subscription,faq_title,常见问题,FAQ,FAQ
subscription,footer,Smart routines save mental load.,Smart routines save mental load.,Smart routines save mental load.
subscription,hero_kicker,智能订阅,Smart Subscription,スマート定期便
subscription,hero_title,更少心智负担，更好恢复,"Less Mental Load, Better Recovery",負担を減らし、回復を高める
subscription,intro,为忙碌职场妈妈设计：固定节奏自动配送，默认享 9 折。,Designed for busy working mamas: fixed rhythm auto-delivery with 9% savings.,忙しい働くママ向け：固定リズムの自動配送で常時9%OFF。
subscription,nav_collections,选品分类,Collections,コレクション
subscription,nav_founder,创始人专栏,Founder,創業者
subscription,nav_science,科学背书,Science,科学情報
subscription,nav_start,开始选品,Start Here,はじめに
subscription,nav_subscribe,订阅 9 折,Subscribe 9% Off,定期便 9%OFF
subscription,p1_1,每月配送,Monthly delivery,毎月配送
subscription,p1_2,适合高屏幕工作日,Best for screen-heavy workdays,画面作業が多い日に最適
subscription,p1_3,默认 9 折,9% off by default,標準で9%OFF
subscription,p1_d,蓝莓/叶黄素 + 蒸汽眼罩,Bilberry/Lutein + steam eye mask,ビルベリー/ルテイン + 蒸気アイマスク
subscription,p1_t,Visual Reset Plan,Visual Reset Plan,Visual Reset Plan
subscription,p2_1,每月配送,Monthly delivery,毎月配送
subscription,p2_2,夜间修复 + 白天支持,Night recovery + daytime support,夜回復 + 日中サポート
subscription,p2_3,9 折 + 优先库存,9% off + priority stock,9%OFF + 優先在庫
subscription,p2_d,蚕丝眼罩 + VC + TRU NIAGEN + 钙镁 + 蒸汽眼罩,Silk mask + VC + TRU NIAGEN + Calcium/Magnesium + steam eye mask,シルクマスク + VC + TRU NIAGEN + カルシウム/マグネシウム + 蒸気アイマスク
subscription,p2_t,Working Mama Core Kit,Working Mama Core Kit,Working Mama Core Kit
subscription,p3_1,双月配送,Every two months,隔月配送
subscription,p3_2,适合睡眠波动周期,For fluctuating sleep quality periods,睡眠品質が揺らぐ時期向け
subscription,p3_3,默认 9 折,9% off by default,標準で9%OFF
subscription,p3_d,睡眠喷雾 + 耳塞 + 夜间修复组合,Sleep mist + earplugs + night recovery essentials,スリープミスト + 耳栓 + 夜間回復セット
subscription,p3_t,Deep Recovery Plan,Deep Recovery Plan,Deep Recovery Plan
subscription,rule_1,可随时暂停、跳过或取消，无复杂门槛。,"Pause, skip, or cancel anytime without complex conditions.",複雑な条件なく、停止・スキップ・解約が可能。
subscription,rule_2,每次周期前 3 天提醒发货。,3-day shipping reminder before each cycle.,各サイクル前に3日前リマインド。
subscription,rule_3,支持主流信用卡与后续 Stripe/Shopify 接入。,Supports major credit cards and future Stripe/Shopify integration.,主要カード対応、Stripe/Shopify連携予定。
subscription,rule_cta,开始订阅（支付占位）,Start Subscription (payment placeholder),定期便を開始（決済プレースホルダー）
subscription,rule_t,订阅规则,Subscription Rules,定期便ルール
